name,price,date,overview,image
Tour Úc 7N6Đ: TP.HCM - Khám Phá Sydney - Melbourne,43.990.000VND,20-03-2025,"Hành trình khám phá Úc 7 ngày 6 đêm sẽ đưa bạn tham quan những điểm đến nổi bật của Sydney và Melbourne. Khám phá biểu tượng Nhà hát Con Sò, Cầu cảng Sydney Harbour và Công viên quốc gia Blue Mountains hùng vĩ. Gặp gỡ động vật biểu tượng của Úc tại Sydney Zoo và trải nghiệm tàu lửa hơi nước Puffing Billy tại Dandenong Ranges. Bạn cũng sẽ được thăm thị trấn Ballarat lịch sử, hái trái cây tại Bacchus Marsh và thưởng thức rượu vang tại hầm rượu St Anne. Trải nghiệm mua sắm tại khu DFO và thưởng thức ẩm thực độc đáo của Úc. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2018/02/26/17/ivivu-khu-bao-ton-thien-nhien-blue-mountain-1-158x100.jpg
Tour Úc 5N4Đ: Khám phá Sydney - Nhà Hát Con Sò- Free Day,28.990.000VND,16-03-2025,"Trải nghiệm hành trình 5 ngày 4 đêm tại Sydney, thành phố sôi động và hiện đại bậc nhất nước Úc. Khám phá biểu tượng Nhà hát Con Sò nổi tiếng thế giới và dạo bước trên những con phố cổ kính của The Rocks. Chiêm ngưỡng vẻ đẹp hùng vĩ của dãy núi Blue Mountains và Núi Ba Chị Em, di sản thiên nhiên thế giới. Gặp gỡ những loài động vật đặc trưng của Úc tại Wildlife Park và thư giãn tại Cảng Darling nhộn nhịp. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2022/03/24/14/ivivu-vivid-sydney-uc-158x100.gif
Tour Úc 7N6Đ: Khám phá Sydney - Melbounre - Thị Trấn Ballarat,42.990.000VND,27-02-2025,"Trải nghiệm hành trình 7 ngày 6 đêm tại Úc, khám phá những điểm đến biểu tượng của Sydney và Melbourne. Chiêm ngưỡng kiến trúc độc đáo của Nhà hát Con Sò và tận hưởng bầu không khí nhộn nhịp tại Darling Harbour. Khám phá vẻ đẹp hoang sơ của Blue Mountains và Núi Ba Chị Em – di sản thiên nhiên thế giới. Thưởng thức chuyến tàu hơi nước Puffing Billy qua rừng nhiệt đới ôn hòa và tìm hiểu lịch sử vàng tại Thị trấn Ballarat. Trải nghiệm cảm giác thú vị khi trượt tuyết tại Núi tuyết Mount Buller vào mùa đông. Hành trình này không chỉ mang lại cho bạn những trải nghiệm thiên nhiên tuyệt vời mà còn giúp bạn khám phá nền văn hóa và lịch sử độc đáo của Úc. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2022/03/24/14/ivivu-vivid-sydney-uc-158x100.gif
Tour Úc 5N4Đ: Khám phá Sydney - Blue Mountains - Bao Gồm Visa,29.990.000VND,16-03-2025,"Hành trình 5 ngày 4 đêm đưa bạn khám phá thành phố Sydney hiện đại cùng những cảnh quan thiên nhiên tuyệt đẹp của Vườn quốc gia Blue Mountains, được UNESCO công nhận là di sản thế giới. Tận hưởng trải nghiệm du thuyền trên sông Thames, khám phá Nhà hát Con Sò - biểu tượng của nước Úc, và hành trình qua những địa điểm đặc sắc như Cầu cảng Sydney, thung lũng Jamison hay núi Ba Chị Em. Đặc biệt, bạn sẽ được hòa mình vào không gian thiên nhiên hoang dã tại Sydney Zoo với các loài động vật đặc trưng của Úc. Cùng iVIVU khám phá ngay hôm nay!",https://cdn2.ivivu.com/2023/03/21/11/ivivu-gardens-in-georgia-158x100.gif
Tour Úc 7N6Đ: Sydney - Melbourne - Tàu Kéo Scenic World - Freeday,42.990.000VND,27-02-2025,"- Gặp gỡ các loài động vật biểu tượng của Úc tại Sydney Zoo. - Ngắm nhìn kiến trúc tuyệt mỹ của Nhà hát Con Sò và Cầu Cảng Sydney. - Thưởng ngoạn vẻ đẹp hùng vĩ của Blue Mountains từ tàu kéo Scenic World. - Thử cảm giác đãi vàng tại thị trấn Ballarat lịch sử, nơi khởi nguồn cơn sốt vàng. - Có cơ hội trải nghiệm chuyến tàu hơi nước Puffing Billy qua cánh rừng xanh bạt ngàn.",https://cdn2.ivivu.com/2024/05/29/17/mt-buller-nui-tuyet-uc-ivv-158x100.gif
Tour Úc 6N5Đ: Sydney - Melbourne - Hái Trái Cây Theo Mùa,48.790.000VND,23-03-2025,"- Khám phá Sydney Opera House biểu tượng kiến trúc nổi tiếng và chiêm ngưỡng toàn cảnh bến cảng từ Cầu Cảng Sydney. - Hái trái cây theo mùa tại nông trại ở Melbourne, tận hưởng hương vị tươi ngon của các loại trái cây đặc sản. - Tham quan công viên Fitzroy khu vườn lịch sử đẹp mắt với những cây cổ thụ và lối đi dạo thanh bình. - Gặp gỡ động vật hoang dã như gấu túi và kangaroo tại Featherdale Wildlife Park, mang đến những khoảnh khắc đáng nhớ. - Trải nghiệm tàu lửa hơi nước Puffing Billy, một hành trình thú vị qua những cánh rừng cổ kính và cảnh đẹp của Dandenong Ranges.",https://cdn2.ivivu.com/2022/03/17/17/ivivu-nuoc-uc-1-158x100.gif
Tour Châu Âu 11N10Đ: Hành Trình Ba Nước Pháp - Thụy Sĩ - Ý - Vatican,79.990.000VND,23-04-2025,"- Tháp Eiffel - Paris: Biểu tượng lừng danh thế giới, mang đến góc nhìn ngoạn mục về kinh đô ánh sáng Paris. - Khải Hoàn Môn - Pháp: Công trình lịch sử oai hùng, nơi giao thoa giữa kiến trúc và văn hóa Pháp trên đại lộ Champs-Élysées. - Ngồi du thuyền trên sông Seine: Trải nghiệm không gian lãng mạn, chiêm ngưỡng vẻ đẹp lung linh của Paris từ dòng sông Seine. - Colosseum - Rome: Khám phá đấu trường La Mã hùng vĩ, biểu tượng lịch sử của thành Rome cổ đại. - Thành phố Milan: Tham quan kinh đô thời trang với nhà thờ Duomo và trung tâm mua sắm Galleria Vittorio Emanuele II.",https://cdn2.ivivu.com/2022/04/05/17/ivivu-paris-2-158x100.gif
Tour Châu Âu 5 Nước 10N9Đ: Pháp - Luxembourg - Bỉ - Hà Lan - Đức,50.990.000VND,18-03-2025,"- Khám phá Tháp Eiffel và Du thuyền sông Seine – Biểu tượng nước Pháp và trải nghiệm ngắm cảnh Paris thơ mộng. - Tham quan làng Giethoorn – Venice của Hà Lan, nơi giao thông chỉ có kênh đào và thuyền. - Chiêm ngưỡng hoa tulip tại Keukenhof – Vườn hoa lớn nhất thế giới với hàng triệu bông hoa rực rỡ. - Quảng trường Grand Place – Di sản thế giới tại Brussels, trung tâm văn hóa và kiến trúc châu Âu. - Nhà thờ Cologne và các biểu tượng nước Đức – Kiến trúc Gothic và di sản UNESCO đáng kinh ngạc.",https://cdn2.ivivu.com/2022/04/05/17/ivivu-paris-2-158x100.gif
Tour Châu Âu 10N9Đ: Khám Phá Pháp - Thụy Sĩ - Ý - Thị trấn Iseltwald,73.990.000VND,07-04-2025,"- Khải Hoàn Môn - Paris: Chiêm ngưỡng biểu tượng lịch sử, ghi dấu những sự kiện quan trọng của nước Pháp. - Phố cổ Colmar: Thả mình giữa khung cảnh 'Tiểu Venice' với những ngôi nhà đầy màu sắc bên dòng sông Lauch. - Thị trấn Grindelwald: Trải nghiệm khung cảnh núi non hùng vĩ, làng cổ tích bên dãy Alps. - Tháp nghiêng Pisa: Chụp ảnh tại biểu tượng nổi tiếng với độ nghiêng độc đáo, di sản thế giới UNESCO. - Đấu trường La Mã - Rome: Khám phá kỳ quan vĩ đại của thế giới, biểu tượng lịch sử đế chế La Mã.",https://cdn2.ivivu.com/2022/04/05/17/ivivu-paris-2-158x100.gif
Tour Châu Âu 9N8Đ: TP.HCM - Đức - Hà Lan - Bỉ - Pháp - Thụy Sỹ - Ý (Milan),54.990.000VND,19-03-2025,"- Ngắm hoa tulip Keukenhof: Vườn hoa lớn nhất thế giới rực rỡ sắc xuân. - Du thuyền sông Seine: Tận hưởng vẻ đẹp thơ mộng trên du thuyền Bateaux Parisiens. - Khám phá “Tiểu Venice” Colmar: Phố cổ rực rỡ sắc màu như truyện cổ tích. - Trải nghiệm Lucerne: Cầu gỗ Chapel, tượng sư tử đá & đồng hồ Thụy Sĩ. - Thư giãn tại hồ Como: Khung cảnh thiên nhiên thơ mộng tại Mila",https://cdn2.ivivu.com/2022/04/07/11/ivivu-romerberg-square-158x100.gif
